Components,Edges
['(3865-2036)'],1
['(3865-4173)'],1
['(3865-4904)'],1
['(3865-4963)'],1
['(3865-4964)'],1
['(3865-4965)'],1
['(3865-4966)'],1
['(4967-1303)'],1
['(1792-3000)'],1
['(1792-3104)'],1
['(3536-1802)'],1
['(3536-3795)'],1
['(3536-3918)'],1
['(3536-4804)'],1
['(918-451)'],1
['(918-1047)'],1
['(918-1708)'],1
['(918-2624)'],1
['(918-2818)'],1
['(2819-2098)'],1
['(918-2820)'],1
['(1326-2722)'],1
['(3192-946)'],1
['(1359-626)'],1
['(1359-913)'],1
['(715-638)'],1
['(715-834)'],1
['(715-2472)'],1
['(715-2645)'],1
['(32-957)'],1
['(1028-815)'],1
['(1028-1798)'],1
['(1028-2941)'],1
['(39-1378)'],1
['(3612-4855)'],1
['(1922-3612)'],1
['(1922-3688)'],1
['(1922-3689)'],1
['(3690-1224)'],1
['(4200-429)'],1
['(4200-1652)'],1
['(4200-2202)'],1
['(3813-491)'],1
['(3813-1150)'],1
['(1338-1530)'],1
['(1338-2570)'],1
['(1338-2786)'],1
['(340-342)'],1
['(346-1018)'],1
['(346-2301)'],1
['(346-2302)'],1
['(346-2303)'],1
['(346-2305)'],1
['(346-2306)'],1
['(346-2307)'],1
['(348-1322)'],1
['(348-1364)'],1
['(1366-1152)'],1
['(1366-2215)'],1
['(1366-2561)'],1
['(1366-2789)'],1
['(1366-3214)'],1
['(1366-3215)'],1
['(1366-3216)'],1
['(1366-3217)'],1
['(348-2004)'],1
['(2292-2497)'],1
['(2292-3329)'],1
['(1805-1807)'],1
['(1805-1809)'],1
['(1805-1810)'],1
['(541-2534)'],1
['(855-857)'],1
['(2260-3804)'],1
['(2260-4501)'],1
['(2260-4894)'],1
['(5909-282)'],1
['(726-540)'],1
['(3654-1280)'],1
['(1633-831)'],1
['(1633-1634)'],1
['(1633-1635)'],1
['(1637-363)'],1
['(1637-1503)'],1
['(1637-1538)'],1
['(1637-1976)'],1
['(2299-2330)'],1
['(2898-932)'],1
['(67-3052)'],1
['(67-3332)'],1
['(67-3769)'],1
['(1030-791)'],1
['(1030-2651)'],1
['(1033-281)'],1
['(1084-1085)'],1
['(1084-1087)'],1
['(1084-1088)'],1
['(1870-71)'],1
['(1870-642)'],1
['(1870-1705)'],1
['(1714-824)'],1
['(1714-1034)'],1
['(1714-1037)'],1
['(1714-1715)'],1
['(1714-1716)'],1
['(2356-215)'],1
['(1522-140)'],1
['(1522-730)'],1
['(1522-1349)'],1
['(1522-3328)'],1
['(2356-4035)'],1
['(2356-4037)'],1
['(4038-2236)'],1
['(2356-4038)'],1
['(1717-2553)'],1
['(1717-3485)'],1
['(1717-3486)'],1
['(1714-1718)'],1
['(1714-1719)'],1
['(1714-1720)'],1
['(1721-1104)'],1
['(1721-2373)'],1
['(1721-2720)'],1
['(1721-3476)'],1
['(1871-3491)'],1
['(1870-1871)'],1
['(1209-583)'],1
['(1209-1210)'],1
['(1209-1214)'],1
['(1209-1215)'],1
['(3539-47)'],1
['(3539-3460)'],1
['(3539-4199)'],1
['(3539-4281)'],1
['(3539-4727)'],1
['(3539-4808)'],1
['(3539-4809)'],1
['(2718-748)'],1
['(2293-118)'],1
['(1365-2082)'],1
['(1365-3209)'],1
['(489-492)'],1
['(489-493)'],1
['(489-495)'],1
['(496-633)'],1
['(496-1471)'],1
['(2358-2443)'],1
['(2358-4056)'],1
['(2358-4844)'],1
['(2358-6168)'],1
['(2358-6232)'],1
['(2376-94)'],1
['(2376-1738)'],1
['(2376-2658)'],1
['(2376-3357)'],1
['(2376-4065)'],1
['(496-2473)'],1
['(2474-970)'],1
['(2474-1764)'],1
['(136-2480)'],1
['(136-3219)'],1
['(2875-396)'],1
['(151-153)'],1
['(151-154)'],1
['(151-159)'],1
['(13-2074)'],1
['(160-13)'],1
['(2053-1208)'],1
['(2053-3826)'],1
['(2053-3827)'],1
['(2056-993)'],1
['(160-2109)'],1
['(160-2110)'],1
['(160-2111)'],1
['(1569-373)'],1
['(1569-1153)'],1
['(1569-1571)'],1
['(1572-1127)'],1
['(1572-1961)'],1
['(1572-2400)'],1
['(3358-1801)'],1
['(3358-1900)'],1
['(3039-4599)'],1
['(3358-3606)'],1
['(131-93)'],1
['(1466-214)'],1
['(1466-2013)'],1
['(1466-3313)'],1
['(1466-3314)'],1
['(2681-1109)'],1
['(2681-3572)'],1
['(3848-3212)'],1
['(2681-3848)'],1
['(1454-2089)'],1
['(811-643)'],1
['(1390-313)'],1
['(73-1970)'],1
['(1950-1528)'],1
['(1950-2462)'],1
['(63-1977)'],1
['(63-1978)'],1
['(63-1979)'],1
['(63-1980)'],1
['(1724-1677)'],1
['(886-329)'],1
['(887-1671)'],1
['(2662-4250)'],1
['(2361-2662)'],1
['(2361-2911)'],1
['(2361-3384)'],1
['(2361-4088)'],1
['(887-2775)'],1
['(887-2776)'],1
['(2777-1103)'],1
['(2777-3292)'],1
['(6039-2149)'],1
['(3117-308)'],1
['(3117-860)'],1
['(1767-1768)'],1
['(1767-1769)'],1
['(2322-4014)'],1
['(2322-4015)'],1
['(2322-4017)'],1
['(2322-4018)'],1
['(2322-4019)'],1
['(2322-4020)'],1
['(1767-1771)'],1
['(1168-1909)'],1
['(1168-1912)'],1
['(1168-2574)'],1
['(1168-2791)'],1
['(3045-42)'],1
['(3045-2499)'],1
['(3045-4475)'],1
['(3045-4476)'],1
['(3046-1865)'],1
['(3046-2563)'],1
['(4012-1300)'],1
['(4012-2230)'],1
['(2887-1588)'],1
['(2452-1321)'],1
['(2452-1925)'],1
['(3156-477)'],1
['(1070-2975)'],1
['(2086-1070)'],1
['(2086-2783)'],1
['(2086-3842)'],1
['(2486-2196)'],1
['(2486-4127)'],1
['(2486-4128)'],1
['(3844-4958)'],1
['(2086-3845)'],1
['(2347-4034)'],1
['(3156-2540)'],1
['(3156-3489)'],1
['(684-1955)'],1
['(684-2227)'],1
['(684-2421)'],1
['(684-2630)'],1
['(684-2631)'],1
['(684-2632)'],1
['(684-2633)'],1
['(1943-1887)'],1
['(1943-2545)'],1
['(3256-3467)'],1
['(4139-487)'],1
['(4139-4307)'],1
['(4139-4328)'],1
['(4139-4841)'],1
['(4139-4993)'],1
['(3256-4637)'],1
['(2017-1914)'],1
['(2794-1042)'],1
['(1656-2729)'],1
['(1656-5140)'],1
['(2615-1656)'],1
['(2615-3053)'],1
['(2615-3509)'],1
['(4143-685)'],1
['(4143-1797)'],1
['(4143-2334)'],1
['(4143-3562)'],1
['(2615-4219)'],1
['(2615-4221)'],1
['(2794-3907)'],1
['(2017-3713)'],1
['(2017-3807)'],1
['(2017-3808)'],1
['(2017-3809)'],1
['(3810-2625)'],1
['(78-1894)'],1
['(78-2203)'],1
['(78-2204)'],1
['(2205-4080)'],1
['(2205-5310)'],1
['(2205-6000)'],1
['(2205-6001)'],1
['(3822-1423)'],1
['(2642-4315)'],1
['(3822-2982)'],1
['(3822-3779)'],1
['(4746-798)'],1
['(1699-2207)'],1
['(1699-3241)'],1
['(1129-3002)'],1
['(3463-4767)'],1
['(4768-5477)'],1
['(1699-3464)'],1
['(4551-562)'],1
['(4304-5157)'],1
['(3397-4304)'],1
['(4551-3397)'],1
['(4407-3362)'],1
['(4407-5265)'],1
['(4407-5266)'],1
['(4407-5268)'],1
['(4551-4970)'],1
['(4551-5348)'],1
['(4551-5349)'],1
['(4769-983)'],1
['(3038-1239)'],1
['(3038-3516)'],1
['(3564-854)'],1
['(859-861)'],1
['(859-862)'],1
['(864-894)'],1
['(389-951)'],1
['(1383-2359)'],1
['(1383-2964)'],1
['(1383-3211)'],1
['(1383-3227)'],1
['(1815-808)'],1
['(193-2062)'],1
['(1229-2140)'],1
['(2949-708)'],1
['(1926-2090)'],1
['(1926-2317)'],1
['(1926-3107)'],1
['(1926-3696)'],1
['(1926-3698)'],1
['(3699-2479)'],1
['(3699-2650)'],1
['(3699-2768)'],1
['(4180-911)'],1
['(4189-3543)'],1
['(4189-4094)'],1
['(4189-5118)'],1
['(4189-5119)'],1
['(2808-4316)'],1
['(4180-5126)'],1
['(4180-5127)'],1
['(4180-5128)'],1
['(3699-4888)'],1
['(3699-4889)'],1
['(4890-223)'],1
['(3590-4845)'],1
['(4890-3590)'],1
['(4890-3695)'],1
['(4890-5553)'],1
['(2949-3365)'],1
['(4402-3895)'],1
['(5220-1480)'],1
['(2823-2021)'],1
['(2823-2884)'],1
['(2823-3119)'],1
['(2823-4165)'],1
['(2823-4321)'],1
['(2823-4322)'],1
['(2823-4323)'],1
['(4324-315)'],1
['(695-1690)'],1
['(2596-1689)'],1
['(2596-2083)'],1
['(2596-3953)'],1
['(4194-4589)'],1
['(2596-4195)'],1
['(1041-1045)'],1
['(4638-1604)'],1
['(5357-5474)'],1
['(5357-5816)'],1
['(4638-5399)'],1
['(4638-5400)'],1
['(4638-5401)'],1
['(4638-5402)'],1
['(4196-5122)'],1
['(1318-3159)'],1
['(3160-2734)'],1
['(1827-1697)'],1
['(1827-1828)'],1
['(1827-1830)'],1
['(43-1679)'],1
['(923-925)'],1
['(450-454)'],1
['(2241-2097)'],1
['(2241-3947)'],1
['(455-2441)'],1
['(455-2442)'],1
['(450-456)'],1
['(450-457)'],1
['(138-446)'],1
['(138-1096)'],1
['(138-1598)'],1
['(1752-2311)'],1
['(1752-3272)'],1
['(1752-3517)'],1
['(1752-3518)'],1
['(3519-895)'],1
['(3519-4872)'],1
['(3519-4883)'],1
['(1610-234)'],1
['(1610-269)'],1
['(1610-721)'],1
['(1610-1611)'],1
['(1612-3377)'],1
['(1610-1613)'],1
['(1610-1614)'],1
['(1610-1615)'],1
['(652-2573)'],1
['(700-1517)'],1
['(1165-535)'],1
['(1165-2795)'],1
['(1165-3055)'],1
['(3056-2150)'],1
['(1415-3271)'],1
['(3273-623)'],1
['(3273-1177)'],1
['(3273-4645)'],1
['(3273-4646)'],1
['(3273-4647)'],1
['(3833-2257)'],1
['(4948-5583)'],1
['(3833-4948)'],1
['(3833-4950)'],1
['(4951-2568)'],1
['(4951-4641)'],1
['(4799-1456)'],1
['(4799-1618)'],1
['(4799-2896)'],1
['(4799-5463)'],1
['(3833-4952)'],1
['(3056-4481)'],1
['(3056-4483)'],1
['(1165-3057)'],1
['(2614-1985)'],1
['(2420-1763)'],1
['(2420-2298)'],1
['(3014-1016)'],1
['(3014-3706)'],1
['(4458-2869)'],1
['(4458-5298)'],1
['(4458-5299)'],1
['(4458-5300)'],1
['(4458-5301)'],1
['(2420-3071)'],1
['(2420-3439)'],1
['(2420-3860)'],1
['(656-514)'],1
['(656-661)'],1
['(656-662)'],1
['(656-663)'],1
['(1011-3044)'],1
['(1009-1011)'],1
['(1009-1012)'],1
['(1013-2909)'],1
['(1013-2912)'],1
['(1013-2913)'],1
['(1013-2914)'],1
['(1013-2915)'],1
['(1009-1014)'],1
['(1015-2917)'],1
['(1015-2918)'],1
['(1015-2919)'],1
['(1549-1629)'],1
['(1549-2587)'],1
['(3341-18)'],1
['(952-953)'],1
['(952-954)'],1
['(956-2836)'],1
['(952-956)'],1
['(958-4123)'],1
['(4892-212)'],1
['(4892-2272)'],1
['(4892-3054)'],1
['(3931-3352)'],1
['(3931-5051)'],1
['(4892-4074)'],1
['(4892-4563)'],1
['(4892-5554)'],1
['(4892-5555)'],1
['(350-2264)'],1
['(350-2328)'],1
['(2329-1631)'],1
['(2309-2138)'],1
['(2309-3124)'],1
['(2309-3841)'],1
['(1337-1725)'],1
['(1337-1727)'],1
['(682-2585)'],1
['(682-2586)'],1
['(2075-1913)'],1
['(2075-2229)'],1
['(2075-2418)'],1
['(2075-3586)'],1
['(87-88)'],1
['(914-2042)'],1
['(89-914)'],1
['(89-1776)'],1
['(89-1906)'],1
['(89-2011)'],1
['(89-2012)'],1
['(87-90)'],1
['(87-95)'],1
['(87-97)'],1
['(137-1728)'],1
['(1323-137)'],1
['(1039-2271)'],1
['(1039-2955)'],1
['(1039-2956)'],1
['(1039-2957)'],1
['(2958-2255)'],1
['(2958-2571)'],1
['(2958-4136)'],1
['(1323-3079)'],1
['(1323-3199)'],1
['(2773-832)'],1
['(2773-4305)'],1
['(3200-2943)'],1
['(3200-4289)'],1
['(1146-3180)'],1
